pickup_datetime,dropoff_datetime,trip_duration,trip_distance,total_amount,max_precipitation,avg_temperature
2016-06-19 15:13:02,2016-06-19 16:18:51,3949.0,17.9,68.34,0.0,21.216666666666665
2016-05-31 18:45:21,2016-05-31 20:03:04,4663.0,0.0,83.34,0.0,23.27777777777778
2016-05-10 16:20:30,2016-05-10 17:21:36,3666.0,17.1,62.84,0.0,15.466666666666667
2016-05-09 11:47:18,2016-05-09 12:23:17,2159.0,17.56,70.01,0.0,21.4
2016-06-05 18:07:57,2016-06-05 19:01:57,3240.0,17.4,63.35,45.6,12.814285714285715
2016-06-15 05:38:21,2016-06-15 06:02:41,1460.0,15.5,58.34,0.0,18.883333333333333
2016-05-18 14:28:49,2016-05-18 15:18:26,2977.0,16.63,70.01,0.0,13.2
2016-06-22 17:43:47,2016-06-22 18:49:14,3927.0,16.92,75.41,0.0,24.166666666666668
2016-05-11 14:30:59,2016-05-11 15:27:20,3381.0,20.23,58.34,0.0,18.5
2016-05-08 15:09:05,2016-05-08 16:09:43,3638.0,16.94,58.34,0.0,18.166666666666668
2016-05-28 20:31:27,2016-05-28 21:03:47,1940.0,17.71,72.92,0.0,25.466666666666665
2016-05-22 17:07:47,2016-05-22 17:52:58,2711.0,17.55,58.34,0.0,12.233333333333333
2016-05-09 01:07:48,2016-05-09 01:34:49,1621.0,18.3,58.34,0.0,12.966666666666667
2016-05-13 06:21:47,2016-05-13 06:59:50,2283.0,17.8,69.99,0.0,11.275
2016-06-26 09:00:20,2016-06-26 09:32:40,1940.0,16.2,63.34,0.0,9.066666666666666
2016-06-21 16:59:50,2016-06-21 18:19:16,4766.0,17.3,62.84,0.0,24.677777777777777
2016-05-29 07:35:58,2016-05-29 08:01:25,1527.0,17.1,69.99,0.0,15.55
2016-05-06 20:25:27,2016-05-06 21:04:23,2336.0,17.97,70.01,0.0,6.666666666666667
2016-05-15 05:35:11,2016-05-15 06:07:45,1954.0,18.65,60.8,0.0,6.28
2016-05-27 16:55:20,2016-05-27 18:06:07,4247.0,16.9,75.39,0.0,24.877777777777776
2016-06-01 07:45:17,2016-06-01 08:27:50,2553.0,22.71,70.01,0.0,23.9
2016-05-25 08:50:19,2016-05-25 09:39:57,2978.0,17.36,58.34,0.0,22.866666666666667
2016-05-09 12:57:47,2016-05-09 13:34:32,2205.0,16.39,58.34,0.0,22.033333333333335
2016-06-16 15:04:27,2016-06-16 16:18:03,4416.0,16.39,70.01,0.0,18.25
2016-05-27 16:14:33,2016-05-27 17:28:02,4409.0,17.6,62.84,0.0,25.083333333333332
2016-05-31 18:09:29,2016-05-31 19:22:03,4354.0,18.3,69.3,0.0,23.533333333333335
2016-05-18 16:03:38,2016-05-18 17:10:05,3987.0,0.0,72.84,0.0,12.075
2016-05-03 04:21:54,2016-05-03 04:51:30,1776.0,16.8,69.99,3.97,8.428571428571429
2016-05-11 14:20:49,2016-05-11 15:24:33,3824.0,17.2,58.34,0.0,18.5
2016-06-11 15:30:52,2016-06-11 16:15:05,2653.0,0.0,60.34,0.0,28.9
2016-06-22 04:59:03,2016-06-22 05:28:46,1783.0,17.9,63.36,0.0,14.0
2016-05-16 13:58:00,2016-05-16 14:40:42,2562.0,22.36,70.0,0.0,16.95
2016-05-20 15:46:42,2016-05-20 17:13:20,5198.0,17.73,72.92,0.0,20.255555555555556
2016-05-10 08:49:44,2016-05-10 09:43:30,3226.0,16.9,52.8,0.0,8.983333333333333
2016-06-09 14:41:51,2016-06-09 15:42:27,3636.0,16.08,75.84,0.0,19.0375
2016-05-21 10:42:53,2016-05-21 11:08:50,1557.0,16.2,58.34,0.0,13.9
2016-05-12 08:13:50,2016-05-12 09:06:28,3158.0,17.45,70.01,0.0,15.916666666666666
2016-06-13 11:26:37,2016-06-13 12:43:17,4600.0,19.4,58.34,0.0,18.166666666666668
2016-05-19 22:17:14,2016-05-19 23:22:15,3901.0,17.3,68.84,0.0,6.3
2016-06-09 12:48:24,2016-06-09 13:33:32,2708.0,17.28,70.01,0.0,14.82857142857143
2016-05-04 21:27:30,2016-05-04 22:03:11,2141.0,16.8,58.34,0.0,4.271428571428571
2016-06-30 06:25:01,2016-06-30 07:07:43,2562.0,17.9,66.0,0.0,18.7
2016-06-16 15:42:07,2016-06-16 17:36:03,6836.0,17.2,66.8,0.0,19.57777777777778
2016-06-11 14:13:40,2016-06-11 14:57:23,2623.0,17.44,63.36,0.0,26.466666666666665
2016-05-06 14:58:13,2016-05-06 16:29:10,5457.0,17.3,60.56,0.0,11.56
2016-06-04 05:11:38,2016-06-04 05:39:26,1668.0,17.3,63.35,0.0,12.966666666666667
2016-05-19 18:02:22,2016-05-19 18:59:38,3436.0,16.7,67.84,0.0,15.9
2016-06-18 12:59:17,2016-06-18 14:07:23,4086.0,17.45,58.34,0.0,12.466666666666667
2016-05-26 11:08:52,2016-05-26 12:09:46,3654.0,16.7,58.34,0.0,24.816666666666666
2016-05-25 05:46:12,2016-05-25 06:15:52,1780.0,17.23,70.01,0.0,14.083333333333334
2016-05-30 15:23:59,2016-05-30 16:06:23,2544.0,17.7,58.34,0.0,8.475
2016-05-23 21:41:44,2016-05-23 22:12:31,1847.0,17.29,66.34,0.0,17.7
2016-05-08 06:53:32,2016-05-08 07:22:27,1735.0,17.44,70.01,3.28,4.5
2016-06-18 13:03:21,2016-06-18 13:51:00,2859.0,17.6,58.34,0.0,9.8
2016-05-09 19:37:29,2016-05-09 20:17:21,2392.0,16.8,70.84,0.0,18.966666666666665
2016-06-03 19:50:23,2016-06-03 20:33:31,2588.0,17.9,64.84,0.0,16.2
2016-06-30 07:23:54,2016-06-30 08:11:25,2851.0,18.01,70.01,0.0,23.233333333333334
2016-05-21 13:56:16,2016-05-21 14:39:15,2579.0,17.1,69.99,0.0,17.316666666666666
2016-05-30 08:29:38,2016-05-30 08:54:17,1479.0,17.4,58.34,0.42,5.2125
2016-06-21 14:23:42,2016-06-21 15:19:46,3364.0,17.36,78.36,0.0,20.283333333333335
2016-05-31 06:10:05,2016-05-31 06:43:06,1981.0,18.3,58.34,0.0,12.78
2016-05-09 19:24:10,2016-05-09 20:07:00,2570.0,16.85,78.55,0.0,18.966666666666665
2016-05-17 18:30:22,2016-05-17 19:37:57,4055.0,16.27,57.3,0.0,9.67142857142857
2016-06-09 08:22:48,2016-06-09 09:04:39,2511.0,16.5,69.99,0.0,10.885714285714286
2016-06-24 18:29:15,2016-06-24 19:27:34,3499.0,17.57,71.62,0.0,23.8
2016-05-14 15:05:46,2016-05-14 16:13:54,4088.0,17.76,70.01,0.0,10.628571428571428
2016-05-04 18:40:47,2016-05-04 19:51:03,4216.0,17.6,75.39,0.0,3.23
2016-06-03 08:17:05,2016-06-03 09:09:34,3149.0,16.88,72.92,0.79,16.369230769230768
2016-05-24 18:24:10,2016-05-24 19:22:41,3511.0,17.8,78.55,0.0,17.616666666666667
2016-05-09 14:57:35,2016-05-09 16:09:05,4290.0,18.01,58.34,0.0,22.11111111111111
2016-06-23 20:25:52,2016-06-23 21:01:57,2165.0,16.4,58.34,0.0,23.333333333333332
2016-05-17 04:26:03,2016-05-17 04:55:18,1755.0,18.34,52.8,0.0,4.633333333333333
2016-06-07 10:43:47,2016-06-07 11:47:41,3834.0,17.59,52.8,0.0,26.75
2016-06-05 12:59:03,2016-06-05 13:59:07,3604.0,18.05,70.01,7.65,13.92142857142857
